Date,Close,High,Low,Open,Volume
2015-01-02,39.7677001953125,40.329006375872176,39.58060029796801,39.68265508236165,27913900
2015-01-05,39.40199279785156,39.742176400533225,39.3339541307579,39.43600888713618,39673900
2015-01-06,38.82365417480469,39.75916258498251,38.73010268493485,39.44449204617874,36447900
2015-01-07,39.31693649291992,39.51254275476391,38.687595171206475,39.10432056775103,29114100
2015-01-08,40.473567962646484,40.60964202605233,39.733665445643595,39.75917831870044,29645200
2015-01-09,40.13338088989258,40.66917393001776,39.88674888219443,40.49057733139655,23944200
2015-01-12,39.63162612915039,40.43106446687887,39.427516560048346,40.329006438064745,23651900
2015-01-13,39.4275016784668,40.745719899265985,39.17236319125758,39.946285107540604,35270600
2015-01-14,39.087318420410156,39.32545050848688,38.7981605768087,39.087318420410156,29719600
2015-01-15,38.6790885925293,39.4445072183706,38.61955639321514,39.30843315647232,32750800
2015-01-16,39.3254508972168,39.35946698648214,38.41545156879696,38.53451923614339,35695300
2015-01-20,39.4530143737793,39.67413677414309,38.75563433126924,39.37647250353981,36161900
2015-01-21,39.05329132080078,39.24039437188194,38.6790884629,39.070300984013755,39081100
2015-01-22,40.082366943359375,40.09087015539904,39.1893804431197,39.44451897972211,35898000
2015-01-23,40.12488555908203,40.303482192771604,39.80170838078981,40.27796931489086,26211600
2015-01-26,39.98030471801758,40.08236271730814,39.32545039934502,39.97180150687445,42525500
2015-01-27,36.28078842163086,36.740039688246206,35.813033943824344,36.52742372158305,169164000
2015-01-28,35.03059387207031,36.391337553611365,35.00508100270291,36.34881502324532,84507100
2015-01-29,35.72797775268555,35.82152927652381,34.69041426966657,34.80947866572928,63585300
2015-01-30,34.35874938964844,35.362297241973955,34.31622359115401,35.33678111402471,78004900
2015-02-02,35.10713577270508,35.18367762517364,34.21414965674597,34.5203170666202,50352500
2015-02-03,35.37928009033203,35.65993460089576,34.91152581698659,35.4047962012765,52082400
2015-02-04,35.58341598510742,35.89808677524332,35.17519363038069,35.66846109241025,41614800
2015-02-05,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,36.068172454833984,36.3913496325542,35.84705327698048,36.29779808814081,34616600
2015-02-09,36.02565002441406,36.348827203157484,35.898079146307865,35.92359526848642,31381100
2015-02-10,36.22975540161133,36.37433592991583,35.87256217449755,36.34882305491108,29670700
2015-02-11,36.042659759521484,36.27228539399115,35.89807921444257,36.27228539399115,38262500
2015-02-12,36.646484375,36.646484375,36.15321382582502,36.28078469040803,33268800
2015-02-13,37.309852600097656,37.309852600097656,36.697520761835236,36.893127081139035,40264900
2015-02-17,37.32697296142578,37.686708152737744,36.99292894004376,37.6610137154582,33695700
2015-02-18,37.28415298461914,37.42976245265416,37.164241227031674,37.36980657386043,27111700
2015-02-19,37.25844955444336,37.284143991342845,36.87301666420335,36.98436466968369,27603400
2015-02-20,37.566795349121094,37.58392606260128,37.07858145065915,37.267012764242146,29721100
2015-02-23,37.81519317626953,37.849451342568656,37.38693505770408,37.4297602160906,32518800
2015-02-24,37.76378631591797,37.943653871488806,37.61817691330191,37.815178446373444,25271700
2015-02-25,37.67815399169922,37.763804315934465,37.51541380136165,37.64389255506495,29759800
2015-02-26,37.73810958862305,37.88371579219916,37.59250011769652,37.67815370863872,28957300
2015-02-27,37.5582389831543,37.858021652835546,37.39550206008191,37.798065772369384,33807700
2015-03-02,37.58394241333008,37.849460419411585,37.30129041896481,37.40407147721085,31924000
2015-03-03,37.070011138916016,37.54109754903978,36.90727427645913,37.309837838801535,31748600
2015-03-04,36.88157272338867,37.01004813715675,36.72739961298811,36.83874431811739,25748700
2015-03-05,36.924415588378906,37.03576361431392,36.67602509488931,36.89015415465273,23193500
2015-03-06,36.28202819824219,36.924415373799306,36.102160573250224,36.83019806527491,36248800
2015-03-09,36.701717376708984,36.94154413132894,36.13641682289404,36.13641682289404,32108000
2015-03-10,35.9993782043457,36.58180953615796,35.9993782043457,36.27346315256908,39159700
2015-03-11,35.95655822753906,36.29059910213436,35.83664645382289,36.239210209027874,32215300
2015-03-12,35.13430404663086,35.67391030771937,34.997261549710856,35.39982531387936,59992500
2015-03-13,35.44263458251953,35.51972115666661,34.78311684089436,34.86020341504144,58007700
2015-03-16,35.5968132019043,35.665332796483234,35.356986452503286,35.519726615909306,35273500
2015-03-17,35.71674728393555,35.82809537054374,35.24566374923433,35.43409520270366,31673400
2015-03-18,36.401939392089844,36.684591313344704,35.399816981859175,35.485467297018175,44194800
2015-03-19,36.22206115722656,36.47901529476924,36.16210530071157,36.1963634563279,33879100
2015-03-20,36.727420806884766,36.813071132155464,36.3933799640384,36.45333584519798,71904500
2015-03-23,36.71027755737305,36.9415372774844,36.64175470666627,36.72740827004974,26246100
2015-03-24,36.74455261230469,36.975809150846175,36.6160738532478,36.64176829811895,25513300
2015-03-25,35.51116180419922,36.77024169695081,35.49403108766551,36.761674705008915,43469900
2015-03-26,35.29703140258789,35.639639185497316,35.04864092334605,35.30559839420311,37495600
2015-03-27,35.09146499633789,35.485461610693925,34.97155326739036,35.219940448489,34401400
2015-03-30,35.08290100097656,35.57968194028548,35.040075846603344,35.20281274016152,35049700
2015-03-31,34.825950622558594,35.142860720457634,34.72316958733327,34.92873165778392,34887200
2015-04-01,34.877349853515625,34.91160802731125,34.526178250141264,34.77456553007615,36865300
2015-04-02,34.50904083251953,34.89447380224075,34.3634313695803,34.82595093324577,37487500
2015-04-06,35.5882568359375,35.7852552217751,34.41483024753489,34.55187274495891,39223700
2015-04-07,35.57111740112305,35.89659447802625,35.382686055421246,35.63964026672375,28809400
2015-04-08,35.47690200805664,35.70816179090699,35.151428180948955,35.5111634427049,24753400
2015-04-09,35.52829360961914,35.6482053616801,35.33129526446898,35.33129526446898,25723900
2015-04-10,35.73385238647461,35.93085069545719,35.46833122183743,35.65676580753798,28022000
2015-04-13,35.76811599731445,36.025073477824904,35.45120590999501,35.45977290193208,30276700
2015-04-14,35.67389678955078,35.99937055430737,35.45120077434931,35.80237224384429,24244400
2015-04-15,36.196380615234375,36.367684543919225,35.69960281613406,35.768122427197596,27343600
2015-04-16,36.11072540283203,36.26489859107097,35.819509743641845,35.93085777233669,22509700
2015-04-17,35.6482048034668,35.750989104209715,35.254208119336035,35.69102996176794,42387600
2015-04-20,36.75311279296875,36.975805584189274,35.6995981793154,35.74242333908662,46057700
2015-04-21,36.5218505859375,36.95867568172866,36.42763328028254,36.830196943590074,26013800
2015-04-22,36.82162857055664,36.94154030176091,36.444759395515085,36.547540412640224,25064300
2015-04-23,37.12141418457031,37.35267396277477,36.658894628161384,36.73598122089621,46309500
2015-04-24,41.00143051147461,41.232690282815234,39.09996672603518,39.10853045059591,130933700
2015-04-27,41.138465881347656,41.22411944893392,40.44468995432125,40.453253677405115,59248200
2015-04-28,42.1063346862793,42.14915984120738,40.855821865219895,40.92434145963485,60730800
2015-04-29,42.02067947387695,42.23480849088486,41.54102929953343,41.72946388005222,47804600
2015-04-30,41.66094207763672,42.431807865258534,41.62668064988696,41.71233421926137,64725500
2015-05-01,41.67808151245117,41.86651613715435,41.455388720179464,41.60956190996383,38937300
2015-05-04,41.31834030151367,41.85794312075159,41.266948156531576,41.42968504795019,34039500
2015-05-05,40.770172119140625,41.249822394517054,40.52178489027712,40.95860673935104,50369200
2015-05-06,39.63956832885742,40.91577889284988,39.41687555652282,40.74447500094251,52433000
2015-05-07,39.999298095703125,40.333338814950174,39.53677866873832,39.630995952084774,32971700
2015-05-08,40.898651123046875,41.095649469358584,40.701652776735166,40.72734721879967,35364900
2015-05-11,40.57316589355469,41.03568536204501,40.57316589355469,40.72733904971813,24609400
2015-05-12,40.556053161621094,40.83870516235982,39.75949259071322,40.127794930696474,29928300
2015-05-13,40.79587173461914,41.386866797416374,40.7444795810649,41.275518765057356,34184600
2015-05-14,41.72947311401367,41.815123432829864,41.138474805191166,41.138474805191166,32980900
2015-05-15,41.36973571777344,41.892211171946144,41.155606647528906,41.85794973654294,28642700
2015-05-18,41.12134552001953,41.30121642355795,40.77874096547324,41.095651076949906,24136500
2015-05-19,41.01789474487305,41.21617336302688,40.67306036372805,41.00065269695736,28574800
2015-05-20,41.01789474487305,41.31962236193663,40.750647935056456,40.8540969339662,25047900
2015-05-21,40.879947662353516,41.03512276439754,40.526493994049574,40.75925664711561,22410700
2015-05-22,40.431678771972656,40.8196133448459,40.362710579453775,40.776509868813804,25720600
2015-05-26,40.1644287109375,40.41443345572515,39.819594353396994,40.37132998317863,29581900
2015-05-27,41.04375457763672,41.181687667018245,40.19029132618688,40.362708510059846,27335600
2015-05-28,40.905818939208984,41.397205745046406,40.854092800695135,40.94892241034517,19283700
2015-05-29,40.397186279296875,41.0092640620538,40.1644236108012,40.88857303881539,36519600
2015-06-01,40.71616744995117,41.18169291920459,40.19029645193358,40.569614962548066,28837300
2015-06-02,40.448909759521484,40.81960550162264,40.19028566443747,40.45753242622177,21498300
2015-06-03,40.38856506347656,41.15582127470728,40.36270364002047,40.83684837202409,28002200
2015-06-04,39.96615982055664,40.655825414684045,39.828226701731154,40.3368556940098,27745500
2015-06-05,39.776493072509766,40.104085401364955,39.51786893439644,39.92304883354406,25438100
2015-06-08,39.42304611206055,40.026504730737145,39.371319960087725,39.91443304575516,22121600
2015-06-09,39.35407638549805,39.60407786799899,39.19027856857369,39.44890271964144,24406100
2015-06-10,40.181678771972656,40.37133803530619,39.388560906874545,39.47477115774652,28417400
2015-06-11,40.035125732421875,40.448925099200586,39.76788215787304,40.22478500874817,27347800
2015-06-12,39.629940032958984,40.06098135317447,39.569594511215556,39.84546069306673,23931000
2015-06-15,39.207523345947266,39.35407912452272,38.81096606747089,39.1816619156159,33254500
2015-06-16,39.509254455566406,39.862708255499975,39.052348356687844,39.09545183695589,27070300
2015-06-17,39.629940032958984,39.716146981568365,39.1040690961226,39.42303875227846,28704100
2015-06-18,40.27649688720703,40.34546177960037,39.80234886444838,39.84545562185108,32658300
2015-06-19,39.742000579833984,40.37132367733521,39.647174270476796,40.33683958925061,63837000
2015-06-22,39.854087829589844,40.276509852597236,39.79374229610092,39.940298083563256,20318100
2015-06-23,39.578208923339844,39.897178539463106,39.32820419973173,39.76786813277826,25896500
2015-06-24,39.34545135498047,39.871322294114165,39.26786378545936,39.3713127819594,34890900
2015-06-25,39.35407638549805,39.70753015929369,39.224762665671925,39.68166544217777,20616000
2015-06-26,39.017860412597656,39.89718513548157,38.81958179203331,39.354075418164435,49835300
2015-06-29,38.2505989074707,38.99199037013983,38.241979529604556,38.82819588201346,34081700
2015-06-30,38.060943603515625,38.55233036430677,37.8799037796054,38.543707697719555,35945400
2015-07-01,38.319576263427734,38.99199970989857,38.0178453484998,38.328195643358484,28343900
2015-07-02,38.2764778137207,38.57820547969215,37.98336952881205,38.34544272797778,21752000
2015-07-06,38.26783752441406,38.34542507259522,37.88852244918585,37.89714182628003,23034000
2015-07-07,38.19026184082031,38.35405965374735,37.34542121403811,38.224745937076996,36435800
2015-07-08,38.138545989990234,38.70752052839232,37.95750609568296,38.310959925772366,39785900
2015-07-09,38.37992858886719,38.983387237059624,38.36268653736625,38.57820724825033,32424700
2015-07-10,38.45751190185547,38.91441470579869,38.423027802686434,38.802343027791686,25465800
2015-07-13,39.25925064086914,39.32821555329358,38.75062166847267,38.77648309955873,28178300
2015-07-14,39.32820510864258,39.62131330791964,39.06096162216734,39.18165265329603,22880300
2015-07-15,39.448909759521484,39.560981450798316,39.16442412915425,39.379944841602345,26629600
2015-07-16,40.22478485107422,40.25064628371369,39.629948880271165,39.66442969426212,26271700
2015-07-17,40.19029235839844,40.32822545132251,39.87994207717319,40.12994683578068,29467100
2015-07-20,40.448909759521484,40.62994958580571,40.03511054967029,40.21615037595452,30631900
2015-07-21,40.75927734375,40.80238411843805,40.06961170034864,40.328235905551,42781900
2015-07-22,39.25925064086914,40.457545180434174,38.9661423637494,39.17304038960755,59152400
2015-07-23,39.7506217956543,39.85407076754962,38.87991669050001,39.026472415219956,33934000
2015-07-24,39.60408401489258,39.931676411001945,39.48339294490098,39.57822258234724,32333200
2015-07-27,39.095455169677734,39.66442970803894,39.009248201792865,39.60408417280252,39701400
2015-07-28,39.08683395385742,39.34545813395903,38.61268907557368,39.29373527108963,34328900
2015-07-29,39.90580749511719,40.32822616087371,39.01786011074775,39.13855444669115,40945900
2015-07-30,40.4144401550293,40.86272357870804,39.59546088655053,39.8799464833827,39777900
2015-07-31,40.2592658996582,40.836859775358086,40.08684868844257,40.76789486402269,31201500
2015-08-03,40.35409164428711,40.51788617044745,40.043741351701655,40.50064412212776,24125900
2015-08-04,40.98340606689453,41.12995852491602,40.24201453233309,40.30236004899888,33403900
2015-08-05,41.01789474487305,41.73342164616,40.983410649041666,41.36272583743366,26959700
2015-08-06,40.19029235839844,41.18168872469194,39.94029088837529,41.12996258162629,27368000
2015-08-07,40.29375076293945,40.328231574967965,39.879948132748986,39.99201981544994,19163000
2015-08-10,40.802364349365234,40.94029741121583,40.3799424976195,40.474772094251215,23079900
2015-08-11,40.00925064086914,40.466153335761646,39.56958999144592,40.362704351529814,29237400
2015-08-12,40.29375076293945,40.431683876808,39.40580325936242,39.819602600968054,30181400
2015-08-13,40.285118103027344,40.60408773313615,40.0782201278264,40.569606929658676,22627200
2015-08-14,40.517887115478516,40.604094070503166,40.10408781190803,40.11270719197668,21473400
2015-08-17,40.793758392333984,40.90583007867464,40.14719628346742,40.3540976052821,21099700
2015-08-18,41.01937484741211,41.158217530995124,40.52474758025571,40.646234514607016,23574100
2015-08-19,40.44664001464844,40.85449176172614,40.177630922493144,40.59415888726037,31485500
2015-08-20,39.622276306152344,40.325169392620865,39.622276306152344,39.978060959983516,36238200
2015-08-21,37.37474822998047,39.46606789957738,37.37474822998047,39.309869475269686,70053100
2015-08-24,36.16854476928711,37.04498836913857,34.46772149396415,35.10119128598944,88753700
2015-08-25,35.118553161621094,37.52226962812626,35.049130169968606,36.940863658983204,70616600
2015-08-26,37.06235122680664,37.17516193506298,35.63053675698444,36.45491328039548,63408000
2015-08-27,38.09498977661133,38.13837748409323,37.25325434832887,37.51358390349018,50943200
2015-08-28,38.121028900146484,38.31193882125348,37.65243362666778,37.66111315595656,28246700
2015-08-31,37.76524353027344,38.12102808730533,37.40077944413783,37.799955026147394,34441700
2015-09-01,36.290042877197266,36.95822436527995,36.15120018553534,36.59376023074809,49688900
2015-09-02,37.62639617919922,37.64375192497847,36.34210078396523,36.75862875185706,37671500
